uni_id,pattern_label
292600636661845,no_pattern
595196186246024,hammer
636109483060218,morning_star
641736260735724,no_pattern
692835904802780,no_pattern
827656887736609,no_pattern
881022358884006,no_pattern
918883452736084,evening_star
993820455954802,no_pattern
1034127181053872,no_pattern
1176969137424772,shooting_star
1251389858414901,no_pattern
1325740682069006,no_pattern
1405784866708937,no_pattern
1461500909370823,no_pattern
1478803898379648,no_pattern
1498450661144462,no_pattern
1742057059823238,no_pattern
1918568050950384,morning_star
2067406792930010,no_pattern
2441823293455335,no_pattern
2505157589202916,no_pattern
2749675907384637,no_pattern
2795264627900835,evening_star
2854132839484843,no_pattern
2989600171666476,no_pattern
3044029451175025,no_pattern
3195085558008841,no_pattern
3522359974895078,shooting_star
3650726889685923,no_pattern
3662234300369482,no_pattern
3720112525101782,doji
3740785023377539,no_pattern
3945324660714322,no_pattern
4021182623206661,no_pattern
4184198385416892,morning_star
4235669830267276,doji
4443045809651101,no_pattern
4466191823113200,no_pattern
4591354289040692,hammer
4683237717811789,no_pattern
4832840926785225,no_pattern
5012441654759924,no_pattern
5026173766974966,no_pattern
5109504970696044,no_pattern
5121290980150476,no_pattern
5216616527152509,no_pattern
5227272908828738,no_pattern
5439591321372879,no_pattern
5584350118862480,shooting_star
5628183882682867,inverted_hammer
6030934193454673,no_pattern
6062518256775770,no_pattern
6116743670686406,no_pattern
6121109533766263,no_pattern
6436570772985190,morning_star
6537016006608613,shooting_star
6755872078202130,no_pattern
6817332672817865,no_pattern
7096779084589565,no_pattern
7449561738600995,morning_star
7803499612022083,no_pattern
7823232190411840,gravestone_doji
7999388678072044,no_pattern
8012585099435222,no_pattern
8056647014466298,no_pattern
8264381311191526,no_pattern
8284059232328022,no_pattern
8365623392832385,no_pattern
8710713237174452,inverted_hammer
8831612696356252,no_pattern
8904663638336353,no_pattern
9033059903623493,no_pattern
9104958163687268,no_pattern
9143316782582001,no_pattern
9328368717160942,no_pattern
9359591839194018,no_pattern
9414950065527168,no_pattern
9443978872834529,no_pattern
9532971099822517,no_pattern
9700177686867204,doji
9855560349527017,evening_star
9990082525915389,inverted_hammer
10118076855872266,no_pattern
10278383245401929,no_pattern
10293120408301026,no_pattern
10438153088316281,evening_star
10439089294394595,hammer
10523266543012571,no_pattern
10562335884986626,no_pattern
10893432580954343,no_pattern
11000818541899691,no_pattern
11085685689809207,no_pattern
11162613768463959,no_pattern
11346165140476847,no_pattern
11360600556826012,no_pattern
11777658708615358,no_pattern
11799692290046750,shooting_star
11829021905135667,no_pattern
11883281067641525,no_pattern
11908645057062438,no_pattern
11910072641277603,no_pattern
12107602620697196,doji
12198518521668180,no_pattern
12324878798747442,hammer
12659250946260202,no_pattern
13021504134797004,no_pattern
13051988896946044,no_pattern
13272286167534895,no_pattern
13379060904189693,no_pattern
13605813310080291,no_pattern
13754389379365289,no_pattern
13824002495700240,no_pattern
13875993994916668,no_pattern
13952421319912212,doji
13978916801975676,no_pattern
14277517247408533,no_pattern
14394642551614885,no_pattern
14541118952042534,no_pattern
14552015581325338,morning_star
14559238125763496,no_pattern
14600988164462500,evening_star
14623374858902815,no_pattern
14834436924357037,no_pattern
14961170781460966,no_pattern
15015205545672100,no_pattern
15321105349225353,morning_star
15528966995241617,shooting_star
15609142747709613,no_pattern
15716423449204176,no_pattern
15814918323921548,evening_star
15844007270509086,no_pattern
15924092283239350,no_pattern
15967461701949023,no_pattern
16043511350920091,no_pattern
16213868358967831,no_pattern
16256501837019742,no_pattern
16284916214602873,inverted_hammer
16307319718180660,evening_star
16338679025533882,no_pattern
16648564653456452,no_pattern
16720054118892192,evening_star
16850151707309219,no_pattern
16889143235639446,doji
17046225027146394,no_pattern
17112805533184649,no_pattern
17200873800752468,doji
17309869449821109,no_pattern
17372554026254532,no_pattern
17441752902214055,no_pattern
17779061902486375,evening_star
17840865287941319,no_pattern
17941702825152305,morning_star
18151562918958643,no_pattern
18433359126064671,inverted_hammer
18541982017083519,no_pattern
18722399484758962,evening_star
18773456544324583,no_pattern
18804397135763555,no_pattern
18820153814806326,hammer
18899959555829930,bearish_engulfing
19028945944950137,no_pattern
19063153167006415,no_pattern
19088079396876115,doji
19153646372219578,no_pattern
19307675774229049,no_pattern
19375909720707554,no_pattern
19666509938085649,no_pattern
19686303100842620,gravestone_doji
19733248640941264,no_pattern
19738875267050831,no_pattern
19773439146233009,no_pattern
19789395339224541,no_pattern
19998789820269830,no_pattern
20057541811638205,no_pattern
20085535720606534,no_pattern
20148906501333821,hammer
20367409813775405,no_pattern
20423050380677849,no_pattern
20440577133384356,no_pattern
20513399157463685,no_pattern
20593687196546517,no_pattern
20610110149309057,doji
20734156140309599,no_pattern
20797681254771356,shooting_star
20982804644104189,no_pattern
21050035751978916,no_pattern
21424853205354205,no_pattern
21459446026693359,no_pattern
21611791931481215,no_pattern
21668032481536680,no_pattern
21692337594337764,no_pattern
21707896864212064,no_pattern
21725767200672399,dragonfly_doji
21872231610734903,no_pattern
21951472210252185,morning_star
22027351015416389,no_pattern
22096857645179453,no_pattern
22143455123257088,shooting_star
22150444040813107,no_pattern
22208447465944119,no_pattern
22293599932862747,no_pattern
22344923935272557,no_pattern
22448533682325902,no_pattern
22474675943311818,no_pattern
22520530905065845,no_pattern
22711988999753520,no_pattern
22791051175419897,no_pattern
22806850930304607,no_pattern
22857429744661324,no_pattern
22883190081559744,no_pattern
22920694758339578,gravestone_doji
23041657160269873,no_pattern
23125754147902040,no_pattern
23260729741279087,no_pattern
23528290870839903,no_pattern
23622763365925094,no_pattern
23747995700237227,no_pattern
23794798077949899,no_pattern
24036645425772200,no_pattern
24064203110344730,no_pattern
24529332037269223,no_pattern
24734043580179823,no_pattern
24770776306604708,morning_star
24824567153819511,shooting_star
24836166303616402,hammer
24938710433100408,no_pattern
24960131228332336,no_pattern
25147978475732690,no_pattern
25171126509886233,inverted_hammer
25246224143644793,no_pattern
25311275834227639,no_pattern
25328945081813747,hammer
25531541580582226,evening_star
25560320438814500,no_pattern
26409372918840344,inverted_hammer
26411971879031113,no_pattern
26634553144096015,doji
26720485411380943,inverted_hammer
27133623158303560,evening_star
27135890557181910,rain_drop
27228372562768288,no_pattern
27348762634684446,no_pattern
27705454136560785,hammer
27785029084114899,shooting_star
28303297072059678,doji
28392382171468334,no_pattern
28502266826333592,doji
28514473951700578,morning_star
28523335425018026,no_pattern
28532295647541108,no_pattern
28583419493574623,evening_star
28592134279500527,no_pattern
28698790958171970,no_pattern
28963698818847713,doji
29090597878930333,no_pattern
29101571086537984,evening_star
29142609170535350,doji
29269557730194809,no_pattern
29335276937103796,morning_star
29372352897993322,no_pattern
29473216776833971,no_pattern
29514930201902919,no_pattern
29545169257511000,no_pattern
29623290760915094,rain_drop
29726812975369796,morning_star
29735986436751004,no_pattern
29920909891249366,hammer
29975358633303315,no_pattern
30006452499961846,no_pattern
30270964215009176,no_pattern
30713267886290322,no_pattern
30811169128135453,no_pattern
30933105731604803,no_pattern
30939580446082193,no_pattern
31128939226525240,no_pattern
